machine_id,timestamp,temperature,vibration,pressure,rpm,tempz,temp_rolling_mean,vibration_spike,failure_date,failure_type,repair_time_hours,technician,hours_before_failure,plant,machine_type,install_year,units_produced,defects,shift,year,machine_age_years,good_units,defect_rate,availability,quality_score,performance,OEE
M103,2024-01-21 10:00:00,55.0,0.35,25.0,1600,1.4008616819756672,55.0,0,2024-01-22,Sensor,3,Tech_A,14.0,Plant_A,Lathe,2018,0.0,0.0,No Production,2024,6,0.0,0.0,0.875,0.0,1,0.0
M103,2024-01-22 08:00:00,75.0,0.75,33.0,1480,0.3502154204939168,65.0,0,2024-01-22,Sensor,3,Tech_A,-8.0,Plant_A,Lathe,2018,0.0,0.0,No Production,2024,6,0.0,0.0,0.875,0.0,1,0.0
M104,2024-02-17 11:00:00,68.0,0.48,30.0,1520,0.2626615653704376,68.0,0,2024-02-18,Electrical,7,Tech_D,13.0,Plant_A,Welding,2017,0.0,0.0,No Production,2024,7,0.0,0.0,0.7083333333333333,0.0,1,0.0
M104,2024-02-17 11:00:00,68.0,0.48,30.0,1520,0.2626615653704376,68.0,0,2024-05-18,Electrical,8,Tech_D,2173.0,Plant_A,Welding,2017,0.0,0.0,No Production,2024,7,0.0,0.0,0.6666666666666667,0.0,1,0.0
M105,2024-03-09 08:00:00,63.0,0.42,29.0,1510,0.7004308409878336,63.0,0,2024-03-10,Motor,5,Tech_A,16.0,Plant_B,CNC,2019,0.0,0.0,No Production,2024,5,0.0,0.0,0.7916666666666666,0.0,1,0.0
M105,2024-03-10 07:00:00,84.0,1.0,29.0,1430,1.1382001166052296,73.5,0,2024-03-10,Motor,5,Tech_A,-7.0,Plant_B,CNC,2019,0.0,0.0,No Production,2024,5,0.0,0.0,0.7916666666666666,0.0,1,0.0
M106,2024-01-29 09:00:00,67.0,0.5,30.0,1505,0.3502154204939168,67.0,0,2024-01-30,Hydraulic,8,Tech_C,15.0,Plant_B,Press,2014,0.0,0.0,No Production,2024,10,0.0,0.0,0.6666666666666667,0.0,1,0.0
M106,2024-01-29 09:00:00,67.0,0.5,30.0,1505,0.3502154204939168,67.0,0,2024-05-22,Bearing,4,Tech_B,2727.0,Plant_B,Press,2014,0.0,0.0,No Production,2024,10,0.0,0.0,0.8333333333333334,0.0,1,0.0
M106,2024-01-30 05:00:00,89.0,1.15,39.0,1410,1.5759693922226257,78.0,0,2024-01-30,Hydraulic,8,Tech_C,-5.0,Plant_B,Press,2014,0.0,0.0,No Production,2024,10,0.0,0.0,0.6666666666666667,0.0,1,0.0
M106,2024-01-30 05:00:00,89.0,1.15,39.0,1410,1.5759693922226257,78.0,0,2024-05-22,Bearing,4,Tech_B,2707.0,Plant_B,Press,2014,0.0,0.0,No Production,2024,10,0.0,0.0,0.8333333333333334,0.0,1,0.0
M107,2024-02-11 10:00:00,58.0,0.38,27.0,1580,1.1382001166052296,58.0,0,2024-02-12,Bearing,4,Tech_B,14.0,Plant_B,Lathe,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.8333333333333334,0.0,1,0.0
M107,2024-02-11 10:00:00,58.0,0.38,27.0,1580,1.1382001166052296,58.0,0,2024-06-08,Sensor,3,Tech_A,2822.0,Plant_B,Lathe,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.875,0.0,1,0.0
M107,2024-02-12 06:00:00,76.0,0.38,34.0,1460,0.437769275617396,67.0,0,2024-02-12,Bearing,4,Tech_B,-6.0,Plant_B,Lathe,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.8333333333333334,0.0,1,0.0
M107,2024-02-12 06:00:00,76.0,0.38,34.0,1460,0.437769275617396,67.0,0,2024-06-08,Sensor,3,Tech_A,2802.0,Plant_B,Lathe,2016,0.0,0.0,No Production,2024,8,0.0,0.0,0.875,0.0,1,0.0
M108,2024-02-28 09:00:00,54.0,0.3,24.0,1620,1.4884155370991463,54.0,0,2024-03-01,Sensor,2,Tech_A,39.0,Plant_B,Welding,2020,0.0,0.0,No Production,2024,4,0.0,0.0,0.9166666666666666,0.0,1,0.0
M108,2024-03-01 07:00:00,72.0,0.7,32.0,1490,0.0875538551234792,63.0,0,2024-03-01,Sensor,2,Tech_A,-7.0,Plant_B,Welding,2020,0.0,0.0,No Production,2024,4,0.0,0.0,0.9166666666666666,0.0,1,0.0
M109,2024-01-14 08:00:00,66.0,0.47,29.0,1515,0.437769275617396,66.0,0,2024-01-15,Electrical,6,Tech_D,16.0,Plant_C,CNC,2013,0.0,0.0,No Production,2024,11,0.0,0.0,0.75,0.0,1,0.0
M109,2024-01-14 08:00:00,66.0,0.47,29.0,1515,0.437769275617396,66.0,0,2024-06-01,Electrical,5,Tech_D,3328.0,Plant_C,CNC,2013,0.0,0.0,No Production,2024,11,0.0,0.0,0.7916666666666666,0.0,1,0.0
M109,2024-01-15 06:00:00,91.0,1.25,41.0,1390,1.751077102469584,78.5,0,2024-01-15,Electrical,6,Tech_D,-6.0,Plant_C,CNC,2013,0.0,0.0,No Production,2024,11,0.0,0.0,0.75,0.0,1,0.0
M109,2024-01-15 06:00:00,91.0,1.25,41.0,1390,1.751077102469584,78.5,0,2024-06-01,Electrical,5,Tech_D,3306.0,Plant_C,CNC,2013,0.0,0.0,No Production,2024,11,0.0,0.0,0.7916666666666666,0.0,1,0.0
M110,2024-02-24 08:00:00,62.0,0.44,28.0,1540,0.7879846961113128,62.0,0,2024-02-25,Motor,7,Tech_A,16.0,Plant_C,Press,2017,0.0,0.0,No Production,2024,7,0.0,0.0,0.7083333333333333,0.0,1,0.0
M110,2024-02-24 08:00:00,62.0,0.44,28.0,1540,0.7879846961113128,62.0,0,2024-05-25,Motor,6,Tech_A,2176.0,Plant_C,Press,2017,0.0,0.0,No Production,2024,7,0.0,0.0,0.75,0.0,1,0.0
M110,2024-02-25 06:00:00,87.0,1.05,37.0,1425,1.4008616819756672,74.5,0,2024-02-25,Motor,7,Tech_A,-6.0,Plant_C,Press,2017,0.0,0.0,No Production,2024,7,0.0,0.0,0.7083333333333333,0.0,1,0.0
M110,2024-02-25 06:00:00,87.0,1.05,37.0,1425,1.4008616819756672,74.5,0,2024-05-25,Motor,6,Tech_A,2154.0,Plant_C,Press,2017,0.0,0.0,No Production,2024,7,0.0,0.0,0.75,0.0,1,0.0
M111,2024-03-04 09:00:00,59.0,0.39,26.0,1570,1.0506462614817504,59.0,0,2024-03-05,Bearing,3,Tech_B,15.0,Plant_C,Lathe,2018,0.0,0.0,No Production,2024,6,0.0,0.0,0.875,0.0,1,0.0
M111,2024-03-05 06:00:00,73.0,0.82,33.0,1475,0.1751077102469584,66.0,0,2024-03-05,Bearing,3,Tech_B,-6.0,Plant_C,Lathe,2018,0.0,0.0,No Production,2024,6,0.0,0.0,0.875,0.0,1,0.0
M112,2024-01-27 08:00:00,69.0,0.49,31.0,1500,0.1751077102469584,69.0,0,2024-01-28,Hydraulic,10,Tech_C,16.0,Plant_C,Welding,2015,0.0,0.0,No Production,2024,9,0.0,0.0,0.5833333333333333,0.0,1,0.0
M112,2024-01-27 08:00:00,69.0,0.49,31.0,1500,0.1751077102469584,69.0,0,2024-06-15,Hydraulic,9,Tech_C,3352.0,Plant_C,Welding,2015,0.0,0.0,No Production,2024,9,0.0,0.0,0.625,0.0,1,0.0
M112,2024-01-28 05:00:00,94.0,1.4,45.0,1350,2.0137386678400215,81.5,1,2024-01-28,Hydraulic,10,Tech_C,-5.0,Plant_C,Welding,2015,0.0,0.0,No Production,2024,9,0.0,0.0,0.5833333333333333,0.0,1,0.0
M112,2024-01-28 05:00:00,94.0,1.4,45.0,1350,2.0137386678400215,81.5,1,2024-06-15,Hydraulic,9,Tech_C,3331.0,Plant_C,Welding,2015,0.0,0.0,No Production,2024,9,0.0,0.0,0.625,0.0,1,0.0
M113,2024-02-19 09:00:00,57.0,0.36,25.0,1590,1.2257539717287087,57.0,0,2024-02-20,Sensor,2,Tech_A,15.0,Plant_A,CNC,2021,0.0,0.0,No Production,2024,3,0.0,0.0,0.9166666666666666,0.0,1,0.0
M113,2024-02-20 06:00:00,74.0,0.78,32.0,1485,0.2626615653704376,65.5,0,2024-02-20,Sensor,2,Tech_A,-6.0,Plant_A,CNC,2021,0.0,0.0,No Production,2024,3,0.0,0.0,0.9166666666666666,0.0,1,0.0
M114,2024-03-14 09:00:00,61.0,0.41,28.0,1530,0.875538551234792,61.0,0,2024-03-15,Electrical,5,Tech_D,15.0,Plant_B,Press,2022,0.0,0.0,No Production,2024,2,0.0,0.0,0.7916666666666666,0.0,1,0.0
M114,2024-03-15 06:00:00,83.0,0.95,35.0,1440,1.0506462614817504,72.0,0,2024-03-15,Electrical,5,Tech_D,-6.0,Plant_B,Press,2022,0.0,0.0,No Production,2024,2,0.0,0.0,0.7916666666666666,0.0,1,0.0
M115,2024-01-17 08:00:00,64.0,0.46,29.0,1510,0.6128769858643544,64.0,0,2024-01-18,Motor,6,Tech_A,16.0,Plant_C,Lathe,2019,0.0,0.0,No Production,2024,5,0.0,0.0,0.75,0.0,1,0.0
M115,2024-01-17 08:00:00,64.0,0.46,29.0,1510,0.6128769858643544,64.0,0,2024-06-20,Bearing,4,Tech_B,3712.0,Plant_C,Lathe,2019,0.0,0.0,No Production,2024,5,0.0,0.0,0.8333333333333334,0.0,1,0.0
